"Family","Subcategory","Product","Slug","Applications","Typical Spec","Grades / Forms","Overview","Technical Notes","Documentation","Datasheet","Image File","Company Image","SEO Title","Meta Description","Image Alt"
"Adsorbents","Activated Carbon – Granular (GAC)","Activated Carbon – Granular (GAC)","activated-carbon-granular-gac","Organic removal, chlorine, colour, odour, pesticides, THMs; solvent recovery; air purification; gold recovery","Coal-based, Coconut-shell, Wood-based; various mesh (4x8, 8x30, 12x40 etc.); different IV grades","Granules / Bags / Bulk","Activated Carbon – Granular (GAC) is supplied for organic removal, chlorine, colour, odour, pesticides, thms; solvent recovery; air purification; gold recovery.","Target industries: Municipal & Industrial Water Treatment, RO Pre-treatment, Pharma, F&B, Gold mining, Air filters. Highest volume, easiest sales, universal demand. Must-have hero product.","CoA, TDS and MSDS available on request.","","/assets/images/activated-carbon.svg","","Activated Carbon – Granular (GAC) | Aarbutus Technologies","Activated Carbon – Granular (GAC) for organic removal, chlorine, colour, odour, pesticides, thms; solvent recovery; air purification; gold recovery. Request technical documentation and a quote from Aarbutus Technologies.","Activated Carbon – Granular (GAC) for industrial applications"
"Adsorbents","Activated Carbon – Powdered (PAC)","Activated Carbon – Powdered (PAC)","activated-carbon-powdered-pac","Rapid adsorption of organics, colour, taste in liquid phase (dosing systems)","Coal / Coconut / Wood based","Powder / Bags","Activated Carbon – Powdered (PAC) is supplied for rapid adsorption of organics, colour, taste in liquid phase (dosing systems).","Target industries: Water treatment plants, Sugar mills, Pharma, Textile/Dye, Juice & Soft drink plants. High consumption, continuous dosing = excellent repeat. Easy add-on to GAC customers.","CoA, TDS and MSDS available on request.","","/assets/images/activated-carbon.svg","","Activated Carbon – Powdered (PAC) | Aarbutus Technologies","Activated Carbon – Powdered (PAC) for rapid adsorption of organics, colour, taste in liquid phase (dosing systems). Request technical documentation and a quote from Aarbutus Technologies.","Activated Carbon – Powdered (PAC) for industrial applications"
"Adsorbents","Activated Alumina","Activated Alumina","activated-alumina","Defluoridation, Arsenic removal, Gas & liquid drying, Catalyst support","Balls / Granules (2-5mm, 3-5mm, 5-8mm common); different surface area grades","Balls / Granules","Activated Alumina is supplied for defluoridation, arsenic removal, gas & liquid drying, catalyst support.","Target industries: Drinking water (fluoride endemic zones – Rajasthan, UP, Haryana, Gujarat), Industrial gas drying, Petrochemical, Pharma packaging. Strong government + private demand in North India fluoride belt. Excellent technical story.","CoA, TDS and MSDS available on request.","","/assets/images/activated-alumina.svg","","Activated Alumina | Aarbutus Technologies","Activated Alumina for defluoridation, arsenic removal, gas & liquid drying, catalyst support. Request technical documentation and a quote from Aarbutus Technologies.","Activated Alumina for industrial applications"
"Adsorbents","Molecular Sieves (Zeolite)","Molecular Sieves (Zeolite)","molecular-sieves-zeolite","Selective gas drying & separation (H2O, CO2, H2S), PSA Oxygen/Nitrogen generation, Solvent drying, Air separation","3A, 4A, 5A, 13X, 13X HP, 13X APG; Beads & Powder","Beads (1.6-2.5mm, 3-5mm) / Powder","Molecular Sieves (Zeolite) is supplied for selective gas drying & separation (h2o, co2, h2s), psa oxygen/nitrogen generation, solvent drying, air separation.","Target industries: City Gas Distribution (CGD), Oil & Gas, Petrochemical, Pharma, Industrial gas plants, Air separation units, PSA O2 plants. Highest strategic value. CGD expansion + PSA growth in India. Spec-driven selling (crush strength, capacity).","CoA, TDS and MSDS available on request.","","/assets/images/molecular-sieve-13x.svg","","Molecular Sieves (Zeolite) | Aarbutus Technologies","Molecular Sieves (Zeolite) for selective gas drying & separation (h2o, co2, h2s), psa oxygen/nitrogen generation, solvent drying, air separation. Request technical documentation and a quote from Aarbutus Technologies.","Molecular Sieves (Zeolite) for industrial applications"
"Adsorbents","Silica Gel","Silica Gel","silica-gel","Moisture adsorption (desiccant), Chromatography, Catalyst support, Packaging protection","White / Blue / Orange indicating; Beads / Powder; B-type, Macro-pore, Oil bleaching, PSA, Water-resistant, Silica-Alumina gel","Beads / Powder / Packs","Silica Gel is supplied for moisture adsorption (desiccant), chromatography, catalyst support, packaging protection.","Target industries: Pharma packaging, Electronics, Transformer oil, Food packaging, Industrial drying, Labs. Steady demand from pharma & electronics. Indicating grades good for packaging.","CoA, TDS and MSDS available on request.","","/assets/images/silica-gel.svg","","Silica Gel | Aarbutus Technologies","Silica Gel for moisture adsorption (desiccant), chromatography, catalyst support, packaging protection. Request technical documentation and a quote from Aarbutus Technologies.","Silica Gel for industrial applications"
"Filter & Specialty Media","Anthracite","Anthracite","anthracite","Suspended solids & turbidity removal (top layer in multi-media filters)","Various grades for multi-media filters","Granules","Anthracite is supplied for suspended solids & turbidity removal (top layer in multi-media filters).","Target industries: Water treatment plants (pressure sand & multi-media), Industrial cooling water, Municipal plants. Essential filter media. Always sold with sand/gravel.","CoA, TDS and MSDS available on request.","","/assets/images/product-placeholder.svg","","Anthracite | Aarbutus Technologies","Anthracite for suspended solids & turbidity removal (top layer in multi-media filters). Request technical documentation and a quote from Aarbutus Technologies.","Anthracite for industrial applications"
"Filter & Specialty Media","Filter Sand (Silica Sand)","Filter Sand (Silica Sand)","filter-sand-silica-sand","Turbidity & suspended solids filtration","Various mesh sizes","Granules","Filter Sand (Silica Sand) is supplied for turbidity & suspended solids filtration.","Target industries: All water treatment plants, Swimming pools, Pre-treatment for RO/UF. Commodity but gateway product. High volume.","CoA, TDS and MSDS available on request.","","/assets/images/product-placeholder.svg","","Filter Sand (Silica Sand) | Aarbutus Technologies","Filter Sand (Silica Sand) for turbidity & suspended solids filtration. Request technical documentation and a quote from Aarbutus Technologies.","Filter Sand (Silica Sand) for industrial applications"
"Filter & Specialty Media","Filter Gravel / Support Gravel","Filter Gravel / Support Gravel","filter-gravel-support-gravel","Support bed for sand / anthracite filters","Various sizes","Gravel","Filter Gravel / Support Gravel is supplied for support bed for sand / anthracite filters.","Target industries: Every multi-media or sand filter installation. Must-have accessory. Never sell sand without offering gravel.","CoA, TDS and MSDS available on request.","","/assets/images/product-placeholder.svg","","Filter Gravel / Support Gravel | Aarbutus Technologies","Filter Gravel / Support Gravel for support bed for sand / anthracite filters. Request technical documentation and a quote from Aarbutus Technologies.","Filter Gravel / Support Gravel for industrial applications"
"Filter & Specialty Media","Garnet","Garnet","garnet","Bottom layer in advanced multi-media filters","Dense media grades","Granules","Garnet is supplied for bottom layer in advanced multi-media filters.","Target industries: Advanced multi-media filters in industrial & municipal plants. Upsell for higher performance systems.","CoA, TDS and MSDS available on request.","","/assets/images/product-placeholder.svg","","Garnet | Aarbutus Technologies","Garnet for bottom layer in advanced multi-media filters. Request technical documentation and a quote from Aarbutus Technologies.","Garnet for industrial applications"
"Filter & Specialty Media","Birm Media","Birm Media","birm-media","Catalytic oxidation & removal of dissolved Iron and Manganese (no chemicals if DO present)","Standard Birm","Granules","Birm Media is supplied for catalytic oxidation & removal of dissolved iron and manganese (no chemicals if do present).","Target industries: Borewell / well water treatment, Residential & commercial iron removal filters, Industrial process water, Municipal (iron-affected areas). Very strong demand across North India (iron-affected groundwater). Excellent residential + commercial channel.","CoA, TDS and MSDS available on request.","","/assets/images/product-placeholder.svg","","Birm Media | Aarbutus Technologies","Birm Media for catalytic oxidation & removal of dissolved iron and manganese (no chemicals if do present). Request technical documentation and a quote from Aarbutus Technologies.","Birm Media for industrial applications"
